Id_Booking,Booking_date,Booking_time,Number_of_guests,Table_id,User_id,Booking_status_id,Id_Booking_status,Booking_status1,Id_Table,Table_number,Number_of_seats,Restaurant_Id,Location,Id_Restaurant,Work_schedule,Address,Id_User,Login,Password,User_View_id,Role_id,Name,Surname,Phone_number,Email,Id_User_View,User_View1
1,01/01/2022 00:00:00,18:00:00,4,2,1,1,1,Не забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
2,01/02/2022 00:00:00,19:30:00,2,2,1,2,2,Забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
3,01/03/2022 00:00:00,20:00:00,6,3,1,2,2,Забронированный,3,3,-6,2,Зал 1,2,02/01/2022 08:30:00,456 Красная площадь,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
5,01/01/2022 00:00:00,18:00:00,4,2,1,1,1,Не забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
6,01/02/2022 00:00:00,19:30:00,2,2,1,2,2,Забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
7,01/03/2022 00:00:00,20:00:00,6,3,1,2,2,Забронированный,3,3,-6,2,Зал 1,2,02/01/2022 08:30:00,456 Красная площадь,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
8,01/01/2022 00:00:00,18:00:00,4,2,1,1,1,Не забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
9,01/02/2022 00:00:00,19:30:00,2,2,1,2,2,Забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
10,01/03/2022 00:00:00,20:00:00,6,3,1,2,2,Забронированный,3,3,-6,2,Зал 1,2,02/01/2022 08:30:00,456 Красная площадь,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
13,06/23/2021 00:00:00,11:19:00,9,2,1,1,1,Не забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,1,johnsmith,password123,1,1,Максим,Ананьев,123456789,johnsmith@example.com,1,Пользователь
14,12/12/2021 00:00:00,12:11:00,3,2,2,1,1,Не забронированный,2,2,-5,1,Зал 2,1,01/01/2022 09:00:00,123 Кузнецский мост,2,maksimAnanev,passsword123,1,1,Ярослав,Панфило,1223456789,maksimAnanev@example.com,1,Пользователь
